Frequency (Hz),Magnitude (dB)
1.5915494309189535,-7.58286155917509e-06
2.2114507633340166,-1.46402074283521e-05
3.0728008716806516,-2.8265792251494522e-05
4.269642966306117,-5.45726152301618e-05
5.932649664264306,-0.00010536290494389257
8.24338997818956,-0.00020342273091654341
11.454153233055077,-0.00039274336748867776
15.915494309189533,-0.0007582521887158614
22.114507633340168,-0.0014638941336814954
30.728008716806517,-0.0028261073307886105
42.696429663061146,-0.005455502877193626
59.326496642643036,-0.01052973773750853
82.43389978189566,-0.020317866916680076
114.54153233055065,-0.039183502842785975
159.15494309189535,-0.07548764643665397
221.14507633340168,-0.14513834391881528
307.28008716806517,-0.27799853212066905
426.9642966306115,-0.5287137052059409
593.2649664264304,-0.9926065253081878
824.3389978189557,-1.8219891922548503
1145.4153233055065,-3.224908349566405
1591.5494309189535,-5.41608309394895
2211.4507633340145,-8.517404375364311
3072.8008716806517,-12.482263279372042
4269.642966306119,-17.126014187099397
5932.649664264303,-22.22756346650619
8243.389978189549,-27.606060233516544
11454.153233055065,-33.14100470992787
15915.494309189535,-38.76087250607311
22114.507633340145,-44.42583360890395
30728.008716806515,-50.11445721743058
42696.429663061106,-55.815420355489344
59326.49664264304,-61.52279733989089
82433.89978189564,-67.23350245454994
114541.53233055065,-72.94593300466362
159154.94309189534,-78.65925767987144
221145.07633340143,-84.37304558306487
307280.0871680652,-90.08707344572866
426964.296630611,-95.80122560330024
593264.9664264304,-101.51544214138717
824338.9978189549,-107.22969202581133
1145415.3233055065,-112.9439591820508
1591549.4309189534,-118.65823528422729
2211450.7633340145,-124.37251601994099
3072800.871680652,-130.08679915558682
4269642.966306111,-135.80108353427218
5932649.664264304,-141.51536855678702
8243389.9781895485,-147.2296539127717
11454153.233055064,-152.94393944147635
15915494.309189534,-158.6582250596408
