Frequency (Hz),Phase (degrees)
1.5915494309189535,-0.1065723458582835
2.2114507633340166,-0.1480817535472378
3.0728008716806516,-0.20575881977121724
4.269642966306117,-0.2859006590265147
5.932649664264306,-0.39725688891961386
8.24338997818956,-0.5519845416148579
11.454153233055077,-0.7669743580172096
15.915494309189533,-1.0656921896854128
22.114507633340168,-1.480733654886148
30.728008716806517,-2.0573631941597217
42.696429663061146,-2.8584030909045826
59.326496642643036,-3.9709504881496818
82.43389978189566,-5.515506863497123
114.54153233055065,-7.658120707859249
159.15494309189535,-10.625824475841728
221.14507633340168,-14.724338550460876
307.28008716806517,-20.353145145397413
426.9642966306115,-28.003400590083228
593.2649664264304,-38.20466077190406
824.3389978189557,-51.36167143379151
1145.4153233055065,-67.43770596561401
1591.5494309189535,-85.59953793854366
2211.4507633340145,-104.20749839780709
3072.8008716806517,-121.42294924973795
4269.642966306119,-135.99726482974665
5932.649664264303,-147.55407906727618
8243.389978189549,-156.33847127211016
11454.153233055065,-162.85090702242258
15915.494309189535,-167.6123243212905
22114.507633340145,-171.067545727774
30728.008716806515,-173.564985987185
42696.429663061106,-175.36639973885445
59326.49664264304,-176.66436353152397
82433.89978189564,-177.59905420518587
114541.53233055065,-178.2719484063318
159154.94309189534,-178.7562993082013
221145.07633340143,-179.10490901432678
307280.0871680652,-179.35580934913818
426964.296630611,-179.5363827977065
593264.9664264304,-179.66634043959183
824338.9978189549,-179.75986965842296
1145415.3233055065,-179.82718150815788
1591549.4309189534,-179.87562496066374
2211450.7633340145,-179.9104890486925
3072800.871680652,-179.9355802442745
4269642.966306111,-179.9536380223259
5932649.664264304,-179.96663394799378
8243389.9781895485,-179.97598693007023
11454153.233055064,-179.98271813748144
15915494.309189534,-179.98756249109587
